,title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,up_for_election2014
83,Sen,Michael,F.,Bennet,,,D,CO,Junior Seat,1,M,202-224-5852,202-228-5036,http://www.bennet.senate.gov,http://www.bennet.senate.gov/contact/email,458 Russell Senate Office Building,B001267,110942,S0CO00211,412330,N00030608,SenBennetCo,http://www.opencongress.org/wiki/Michael_Bennet,http://youtube.com/SenatorBennet,97172997732,,III,1964-11-28,Sen.Bennet@opencongress.org,0
93,Sen,Richard,,Blumenthal,,,D,CT,Senior Seat,1,M,202-224-2823,,http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,724 Hart Senate Office Building,B001277,1568,S0CT00177,412490,N00031685,SenBlumenthal,http://www.opencongress.org/wiki/Richard_Blumenthal,http://youtube.com/SenatorBlumenthal,289987304364966,,III,1946-02-13,Sen.Blumenthal@opencongress.org,0
104,Sen,Cory,Anthony,Booker,,,D,NJ,Junior Seat,1,M,202-224-3224,,http://www.booker.senate.gov,http://www.booker.senate.gov/?p=contact,141 Hart Senate Office Building,B001288,76151,S4NJ00185,412598,N00035267,CoryBooker,,http://youtube.com/SenCoryBooker,36872302227,,II,1969-04-27,Sen.Booker@opencongress.org,1
109,Sen,Maria,,Cantwell,,,D,WA,Junior Seat,1,F,202-224-3441,202-228-0514,http://www.cantwell.senate.gov,http://www.cantwell.senate.gov/public/index.cfm/email-maria,311 Hart Senate Office Building,C000127,27122,S8WA00194,300018,N00007836,CantwellPress,http://www.opencongress.org/wiki/Maria_Cantwell,http://youtube.com/SenatorCantwell,9351652533,,I,1958-10-13,Sen.Cantwell@opencongress.org,0
110,Sen,Benjamin,L.,Cardin,,,D,MD,Junior Seat,1,M,202-224-4524,202-224-1651,http://www.cardin.senate.gov,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,C000141,26888,H6MD03177,400064,N00001955,SenatorCardin,http://www.opencongress.org/wiki/Benjamin_Cardin,http://youtube.com/senatorcardin,120421834675191,,I,1943-10-05,Sen.Cardin@opencongress.org,0
111,Sen,Thomas,Richard,Carper,,,D,DE,Senior Seat,1,M,202-224-2441,202-228-2190,http://www.carper.senate.gov,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,513 Hart Senate Office Building,C000174,22421,S8DE00079,300019,N00012508,SenatorCarper,http://www.opencongress.org/wiki/Thomas_Carper,http://youtube.com/senatorcarper,124891107521733,,I,1947-01-23,Sen.Carper@opencongress.org,0
115,Sen,Saxby,,Chambliss,,,R,GA,Senior Seat,1,M,202-224-3521,202-224-0103,http://www.chambliss.senate.gov,http://www.chambliss.senate.gov/public/index.cfm?p=Email,416 Russell Senate Office Building,C000286,22029,S2GA00118,300021,N00002685,SaxbyChambliss,http://www.opencongress.org/wiki/C._Saxby_Chambliss,http://youtube.com/SenatorChambliss,,,II,1943-11-10,Sen.Chambliss@opencongress.org,0
118,Sen,Daniel,Ray,Coats,,,R,IN,Senior Seat,1,M,202-224-5623,,http://www.coats.senate.gov,http://www.coats.senate.gov/contact/,493 Russell Senate Office Building,C000542,53291,S0IN00053,402675,N00003845,SenDanCoats,http://www.opencongress.org/wiki/Daniel_Coats,http://youtube.com/SenatorCoats,180671148633644,,III,1943-05-16,Sen.Coats@opencongress.org,0
120,Sen,Thomas,A.,Coburn,,,R,OK,Junior Seat,1,M,202-224-5754,202-224-6008,http://www.coburn.senate.gov,http://www.coburn.senate.gov/public/?p=ContactForm#form_904650a1-34fd-4705-aec9-87815cbf9cb4,172 Russell Senate Office Building,C000560,22085,S4OK00174,400576,N00005601,TomCoburn,http://www.opencongress.org/wiki/Tom_Coburn,http://youtube.com/SenatorCoburn,90844078615,,III,1948-03-14,Sen.Coburn@opencongress.org,0
121,Sen,Thad,,Cochran,,,R,MS,Senior Seat,1,M,202-224-5054,202-224-9450,http://www.cochran.senate.gov,http://www.cochran.senate.gov/public/index.cfm/email-me,113 Dirksen Senate Office Building,C000567,53312,S8MS00055,300023,N00003328,SenThadCochran,http://www.opencongress.org/wiki/Thad_Cochran,http://youtube.com/sencochran,725659737446291,,II,1937-12-07,Sen.Cochran@opencongress.org,1
128,Sen,Michael,D.,Crapo,,,R,ID,Senior Seat,1,M,202-224-6142,202-228-1375,http://www.crapo.senate.gov,http://www.crapo.senate.gov/contact/email.cfm,239 Dirksen Senate Office Building,C000880,26830,S8ID00027,300030,N00006267,MikeCrapo,http://www.opencongress.org/wiki/Michael_Crapo,http://youtube.com/senatorcrapo,80335332266,,III,1951-05-20,Sen.Crapo@opencongress.org,0
131,Sen,Susan,M.,Collins,,,R,ME,Senior Seat,1,F,202-224-2523,202-224-2693,http://www.collins.senate.gov,http://www.collins.senate.gov/public/index.cfm/email,413 Dirksen Senate Office Building,C001035,379,S6ME00159,300025,N00000491,SenatorCollins,http://www.opencongress.org/wiki/Susan_Collins,http://youtube.com/SenatorSusanCollins,7593313361,,II,1952-12-07,Sen.Collins@opencongress.org,1
144,Sen,John,,Cornyn,,,R,TX,Senior Seat,1,M,202-224-2934,202-228-2856,http://www.cornyn.senate.gov,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,517 Hart Senate Office Building,C001056,15375,S2TX00106,300027,N00024852,JohnCornyn,http://www.opencongress.org/wiki/John_Cornyn,http://youtube.com/senjohncornyn,75755694423,,II,1952-02-02,Sen.Cornyn@opencongress.org,1
158,Sen,Robert,P.,Casey,Jr.,Bob,D,PA,Senior Seat,1,M,202-224-6324,202-228-0604,http://www.casey.senate.gov,http://www.casey.senate.gov/contact/,393 Russell Senate Office Building,C001070,2541,S6PA00217,412246,N00027503,SenBobCasey,http://www.opencongress.org/wiki/Robert_Casey,http://youtube.com/SenatorBobCasey,107749545944874,,I,1960-04-13,Sen.Casey@opencongress.org,0
159,Sen,Bob,,Corker,,,R,TN,Junior Seat,1,M,202-224-3344,202-228-0566,http://www.corker.senate.gov,http://www.corker.senate.gov/public/index.cfm?p=ContactMe,425 Dirksen Senate Office Building,C001071,65905,S6TN00216,412248,N00027441,SenBobCorker,http://www.opencongress.org/wiki/Bob_Corker,http://youtube.com/senatorcorker,109251415789533,,I,1952-08-24,Sen.Corker@opencongress.org,0
176,Sen,Chris,Andrew,Coons,,,D,DE,Junior Seat,1,M,202-224-5042,,http://www.coons.senate.gov,http://www.coons.senate.gov/contact/,127a Russell Senate Office Building,C001088,122834,S0DE00092,412390,N00031820,SenCoonsOffice,http://www.opencongress.org/wiki/Chris_Coons,http://youtube.com/senatorchriscoons,254950754518205,,II,1963-09-09,Sen.Coons@opencongress.org,1
185,Sen,Ted,,Cruz,,,R,TX,Junior Seat,1,M,202-224-5922,202-228-3398,http://www.cruz.senate.gov,http://www.cruz.senate.gov/?p=email_senator,185 Dirksen Senate Office Building,C001098,135705,S2TX00312,412573,N00033085,SenTedCruz,,http://youtube.com/sentedcruz,315496455229328,,I,1970-12-22,Sen.Cruz@opencongress.org,0
206,Sen,Richard,J.,Durbin,,,D,IL,Senior Seat,1,M,202-224-2152,202-228-0400,http://www.durbin.senate.gov,http://www.durbin.senate.gov/public/index.cfm/contact,711 Hart Senate Office Building,D000563,26847,S6IL00151,300038,N00004981,SenatorDurbin,http://www.opencongress.org/wiki/Richard_Durbin,http://youtube.com/SenatorDurbin,180436795325335,,II,1944-11-21,Sen.Durbin@opencongress.org,1
218,Sen,Joe,,Donnelly,,,D,IN,Junior Seat,1,M,202-224-4814,202-225-6798,http://www.donnelly.senate.gov,http://www.donnelly.senate.gov/contact/email-joe,720 Hart Senate Office Building,D000607,34212,H4IN02101,412205,N00026586,SenDonnelly,http://www.opencongress.org/wiki/Joe_Donnelly,http://youtube.com/sendonnelly,168059529893610,,I,1955-09-28,Sen.Donnelly@opencongress.org,0
243,Sen,Michael,B.,Enzi,,,R,WY,Senior Seat,1,M,202-224-3424,202-228-0359,http://www.enzi.senate.gov,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,379a Russell Senate Office Building,E000285,558,S6WY00126,300041,N00006249,SenatorEnzi,http://www.opencongress.org/wiki/Michael_Enzi,http://youtube.com/senatorenzi,23068049436,,II,1944-02-01,Sen.Enzi@opencongress.org,1
255,Sen,Dianne,,Feinstein,,,D,CA,Senior Seat,1,F,202-224-3841,202-228-3954,http://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,331 Hart Senate Office Building,F000062,53273,S0CA00199,300043,N00007364,SenFeinstein,http://www.opencongress.org/wiki/Dianne_Feinstein,http://youtube.com/SenatorFeinstein,334887279867783,,I,1933-06-22,Sen.Feinstein@opencongress.org,0
261,Sen,Jeff,,Flake,,,R,AZ,Junior Seat,1,M,202-224-4521,202-226-4386,http://www.flake.senate.gov,http://www.flake.senate.gov/contact.cfm,368 Russell Senate Office Building,F000444,28128,H0AZ01184,400134,N00009573,JeffFlake,http://www.opencongress.org/wiki/Jeff_Flake,http://youtube.com/flakeoffice,154010926645,,I,1962-12-31,Sen.Flake@opencongress.org,0
273,Sen,Alan,Stuart,Franken,,Al,D,MN,Junior Seat,1,M,202-224-5641,,http://www.franken.senate.gov,http://www.franken.senate.gov/?p=email_al,309 Hart Senate Office Building,F000457,108924,S8MN00438,412378,N00029016,alfranken,http://www.opencongress.org/wiki/Al_Franken,http://youtube.com/SenatorFranken,15483865491,,II,1951-05-21,Sen.Franken@opencongress.org,1
279,Sen,Deb,,Fischer,,,R,NE,Junior Seat,1,F,202-224-6551,202-228-1325,http://www.fischer.senate.gov,http://www.fischer.senate.gov/public/?p=email-deb,383 Russell Senate Office Building,F000463,41963,S2NE00094,412556,N00033443,SenatorFischer,,http://youtube.com/senatordebfischer,531623656856934,,I,1951-03-01,Sen.Fischer@opencongress.org,0
286,Sen,Lindsey,O.,Graham,,,R,SC,Senior Seat,1,M,202-224-5972,202-224-3808,http://www.lgraham.senate.gov,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,290 Russell Senate Office Building,G000359,21992,S0SC00149,300047,N00009975,GrahamBlog,http://www.opencongress.org/wiki/Lindsey_Graham,http://youtube.com/USSenLindseyGraham,257937783228,,II,1955-07-09,Sen.Lgraham@opencongress.org,1
288,Sen,Charles,E.,Grassley,,Chuck,R,IA,Senior Seat,1,M,202-224-3744,202-224-6020,http://www.grassley.senate.gov,http://www.grassley.senate.gov/constituents/questions-and-comments,135 Hart Senate Office Building,G000386,53293,S0IA00028,300048,N00001758,ChuckGrassley,http://www.opencongress.org/wiki/Charles_Grassley,http://youtube.com/senchuckgrassley,106480645796,,III,1933-09-17,Sen.Grassley@opencongress.org,0
301,Sen,Kirsten,E.,Gillibrand,,,D,NY,Junior Seat,1,F,202-224-4451,202-225-1168,http://www.gillibrand.senate.gov,http://www.gillibrand.senate.gov/contact/,478 Russell Senate Office Building,G000555,65147,H6NY20167,412223,N00027658,SenGillibrand,http://www.opencongress.org/wiki/Kirsten_Gillibrand,http://youtube.com/KirstenEGillibrand,6820348410,,I,1966-12-09,Sen.Gillibrand@opencongress.org,0
321,Sen,Thomas,,Harkin,,Tom,D,IA,Junior Seat,1,M,202-224-3254,202-224-9369,http://www.harkin.senate.gov,http://www.harkin.senate.gov/contact_opinion.cfm,731 Hart Senate Office Building,H000206,53294,S4IA00020,300051,N00004207,SenatorHarkin,http://www.opencongress.org/wiki/Thomas_Harkin,http://youtube.com/SenatorTomHarkin,252422916567,,II,1939-11-19,Sen.Harkin@opencongress.org,0
326,Sen,Orrin,G.,Hatch,,,R,UT,Senior Seat,1,M,202-224-5251,202-224-6331,http://www.hatch.senate.gov,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,104 Hart Senate Office Building,H000338,53352,S6UT00063,300052,N00009869,SenOrrinHatch,http://www.opencongress.org/wiki/Orrin_Hatch,http://youtube.com/SenatorOrrinHatch,46877272444,,I,1934-03-22,Sen.Hatch@opencongress.org,0
348,Sen,Dean,,Heller,,,R,NV,Junior Seat,1,M,202-224-6244,,http://www.heller.senate.gov,http://www.heller.senate.gov/public/index.cfm/contact-form,324 Hart Senate Office Building,H001041,2291,H6NV02164,412218,N00027522,SenDeanHeller,http://www.opencongress.org/wiki/Dean_Heller,http://youtube.com/SenDeanHeller,325751330177,,I,1960-05-10,Sen.Heller@opencongress.org,0
349,Sen,Mazie,K.,Hirono,,,D,HI,Junior Seat,1,F,202-224-6361,202-225-4987,http://www.hirono.senate.gov,http://www.hirono.senate.gov/contact/email,330 Hart Senate Office Building,H001042,1677,H6HI02251,412200,N00028139,MazieHirono,http://www.opencongress.org/wiki/Mazie_Hirono,http://youtube.com/CongresswomanHirono,13883923426,,I,1947-11-03,Sen.Hirono@opencongress.org,0
353,Sen,Martin,,Heinrich,,,D,NM,Junior Seat,1,M,202-224-5521,202-225-4975,http://www.heinrich.senate.gov,http://www.heinrich.senate.gov/contact/write-martin,702 Hart Senate Office Building,H001046,74517,H8NM01224,412281,N00029835,MartinHeinrich,http://www.opencongress.org/wiki/Martin_Heinrich,http://youtube.com/SenMartinHeinrich,137523189213,,I,1971-10-17,Sen.Heinrich@opencongress.org,0
356,Sen,Kay,,Hagan,,,D,NC,Junior Seat,1,F,202-224-6342,202-228-2563,http://www.hagan.senate.gov,http://www.hagan.senate.gov/contact/,521 Dirksen Senate Office Building,H001049,21082,S8NC00239,412324,N00029617,SenatorHagan,http://www.opencongress.org/wiki/Kay_Hagan,http://youtube.com/SenatorHagan,7871449189,,II,1953-05-26,Sen.Hagan@opencongress.org,1
368,Sen,John,,Hoeven,,,R,ND,Senior Seat,1,M,202-224-2551,202-224-7999,http://www.hoeven.senate.gov,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,338 Russell Senate Office Building,H001061,41788,S0ND00093,412494,N00031688,SenJohnHoeven,http://www.opencongress.org/wiki/John_Hoeven,http://youtube.com/senatorjohnhoevennd,194483057244478,,III,1957-03-13,Sen.Hoeven@opencongress.org,0
376,Sen,Heidi,,Heitkamp,,,D,ND,Junior Seat,1,F,202-224-2043,202-224-7776,http://www.heitkamp.senate.gov,http://www.heitkamp.senate.gov/public/index.cfm/email-heidi,502 Hart Senate Office Building,H001069,41716,S2ND00099,412554,N00033782,SenatorHeitkamp,,http://youtube.com/senatorheidiheitkamp,501810613175643,,I,1955-10-30,Sen.Heitkamp@opencongress.org,0
378,Sen,James,M.,Inhofe,,Jim,R,OK,Senior Seat,1,M,202-224-4721,202-228-0380,http://www.inhofe.senate.gov,http://www.inhofe.senate.gov/contact,205 Russell Senate Office Building,I000024,27027,S4OK00083,300055,N00005582,InhofePress,http://www.opencongress.org/wiki/James_Inhofe,http://youtube.com/jiminhofepressoffice,55018309421,,II,1934-11-17,Sen.Inhofe@opencongress.org,1
381,Sen,John,H.,Isakson,,Johnny,R,GA,Junior Seat,1,M,202-224-3643,202-228-0724,http://www.isakson.senate.gov,http://www.isakson.senate.gov/public/index.cfm/email-me,131 Russell Senate Office Building,I000055,1721,S6GA00119,400194,N00002593,SenatorIsakson,http://www.opencongress.org/wiki/John_Isakson,http://youtube.com/SenatorIsakson,86611900672,,III,1944-12-28,Sen.Isakson@opencongress.org,0
388,Sen,Tim,P.,Johnson,,,D,SD,Senior Seat,1,M,202-224-5842,202-228-5765,http://www.johnson.senate.gov,http://www.johnson.senate.gov/public/index.cfm?p=ContactForm,136 Hart Senate Office Building,J000177,27067,S6SD00051,300058,N00010084,SenJohnsonSD,http://www.opencongress.org/wiki/Tim_Johnson,http://youtube.com/senatorjohnson,181659658522485,,II,1946-12-28,Sen.Johnson@opencongress.org,0
397,Sen,Mike,,Johanns,,,R,NE,Senior Seat,1,M,202-224-4224,202-228-0436,http://www.johanns.senate.gov,http://www.johanns.senate.gov/public/?p=EmailSenatorJohanns,404 Russell Senate Office Building,J000291,21309,S8NE00117,412320,N00029444,Mike_Johanns,http://www.opencongress.org/wiki/Mike_Johanns,http://youtube.com/SenatorMikeJohanns,399357233834,,II,1950-06-18,Sen.Johanns@opencongress.org,0
399,Sen,Ron,,Johnson,,,R,WI,Senior Seat,1,M,202-224-5323,920-230-7262,http://www.ronjohnson.senate.gov,http://www.ronjohnson.senate.gov/public/index.cfm/contact,328 Hart Senate Office Building,J000293,126217,S0WI00197,412496,N00032546,SenRonJohnson,http://www.opencongress.org/wiki/Ron_Johnson,http://youtube.com/SenatorRonJohnson,186181661410703,,III,1955-04-08,Sen.Ronjohnson@opencongress.org,0
417,Sen,Mark,Steven,Kirk,,,R,IL,Junior Seat,1,M,202-224-2854,,http://www.kirk.senate.gov,http://www.kirk.senate.gov/?p=comment_on_legislation,524 Hart Senate Office Building,K000360,33502,H0IL10120,400222,N00012539,SenatorKirk,http://www.opencongress.org/wiki/Mark_Kirk,http://youtube.com/SenatorKirk,116381528428230,,III,1959-09-15,Sen.Kirk@opencongress.org,0
424,Sen,Amy,Jean,Klobuchar,,,D,MN,Senior Seat,1,F,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov,http://www.klobuchar.senate.gov/public/email-amy,302 Hart Senate Office Building,K000367,65092,S6MN00267,412242,N00027500,amyklobuchar,http://www.opencongress.org/wiki/Amy_Klobuchar,http://youtube.com/senatorklobuchar,7606381190,,I,1960-05-25,Sen.Klobuchar@opencongress.org,0
439,Sen,Angus,,King,,,I,ME,Junior Seat,1,M,202-224-5344,202-224-1946,http://www.king.senate.gov,http://www.king.senate.gov/contact,359 Dirksen Senate Office Building,K000383,22381,S2ME00109,412545,N00034580,SenAngusKing,,http://youtube.com/SenatorAngusKing,142803045874943,,I,1944-03-31,Sen.King@opencongress.org,0
440,Sen,Timothy,,Kaine,,,D,VA,Junior Seat,1,M,202-224-4024,202-228-6363,http://www.kaine.senate.gov,http://www.kaine.senate.gov/contact,388 Russell Senate Office Building,K000384,50772,S2VA00142,412582,N00033177,SenKaineOffice,,http://youtube.com/SenatorTimKaine,482778861771212,,I,1958-02-26,Sen.Kaine@opencongress.org,0
447,Sen,Patrick,J.,Leahy,,,D,VT,Senior Seat,1,M,202-224-4242,202-224-3479,http://www.leahy.senate.gov,https://www.leahy.senate.gov/contact/,437 Russell Senate Office Building,L000174,53353,S4VT00017,300065,N00009918,SenatorLeahy,http://www.opencongress.org/wiki/Patrick_Leahy,http://youtube.com/SenatorPatrickLeahy,178569152181267,,III,1940-03-31,Sen.Leahy@opencongress.org,0
448,Sen,Carl,,Levin,,,D,MI,Senior Seat,1,M,202-224-6221,202-224-1388,http://www.levin.senate.gov,https://www.levin.senate.gov/contact/email/,269 Russell Senate Office Building,L000261,53307,S8MI00158,300066,N00001691,SenCarlLevin,http://www.opencongress.org/wiki/Carl_Levin,http://youtube.com/SenCarlLevin,7481814545,,II,1934-06-28,Sen.Levin@opencongress.org,0
460,Sen,Mary,L.,Landrieu,,,D,LA,Senior Seat,1,F,202-224-5824,202-224-9735,http://www.landrieu.senate.gov,http://www.landrieu.senate.gov/?p=contact,703 Hart Senate Office Building,L000550,661,S6LA00227,300063,N00005395,SenLandrieu,http://www.opencongress.org/wiki/Mary_Landrieu,http://youtube.com/senatorlandrieu,122518851125820,,II,1955-11-23,Sen.Landrieu@opencongress.org,0
483,Sen,Mike,,Lee,,,R,UT,Junior Seat,1,M,202-224-5444,,http://www.lee.senate.gov,http://www.lee.senate.gov/public/index.cfm/contact,316 Hart Senate Office Building,L000577,66395,S0UT00165,412495,N00031696,SenMikeLee,http://www.opencongress.org/wiki/Mike_Lee,http://youtube.com/senatormikelee,178081365556898,,III,1971-06-04,Sen.Lee@opencongress.org,0
488,Sen,Edward,J.,Markey,,Ed,D,MA,Junior Seat,1,M,202-224-2742,,http://www.markey.senate.gov,http://www.markey.senate.gov/contact,218 Russell Senate Office Building,M000133,26900,H6MA07101,400253,N00000270,MarkeyMemo,http://www.opencongress.org/wiki/Edward_Markey,http://youtube.com/RepMarkey,6846731378,,II,1946-07-11,Sen.Markey@opencongress.org,1
489,Sen,John,S.,McCain,,,R,AZ,Senior Seat,1,M,202-224-2235,202-228-2862,http://www.mccain.senate.gov,http://www.mccain.senate.gov/public/index.cfm/contact-form,241 Russell Senate Office Building,M000303,53270,S6AZ00019,300071,N00006424,SenJohnMcCain,http://www.opencongress.org/wiki/John_McCain,http://youtube.com/SenatorJohnMcCain,6425923706,,III,1936-08-29,Sen.Mccain@opencongress.org,0
492,Sen,Mitch,,McConnell,,,R,KY,Senior Seat,1,M,202-224-2541,202-224-2499,http://www.mcconnell.senate.gov,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,317 Russell Senate Office Building,M000355,53298,S2KY00012,300072,N00003389,McConnellPress,http://www.opencongress.org/wiki/Mitch_McConnell,http://www.youtube.com/McConnellForSenate,259130650776119,,II,1942-02-20,Sen.Mcconnell@opencongress.org,1
500,Sen,Robert,,Menéndez,,Bob,D,NJ,Senior Seat,1,M,202-224-4744,202-228-2197,http://menendez.senate.gov,http://www.menendez.senate.gov/contact,528 Hart Senate Office Building,M000639,26961,H2NJ13075,400272,N00000699,SenatorMenendez,http://www.opencongress.org/wiki/Robert_Menendez,http://youtube.com/SenatorMenendezNJ,349744811357,,I,1954-01-01,Sen.Menendez@opencongress.org,0
502,Sen,Barbara,A.,Mikulski,,,D,MD,Senior Seat,1,F,202-224-4654,202-224-8858,http://www.mikulski.senate.gov,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm,503 Hart Senate Office Building,M000702,53304,S6MD00140,300073,N00001945,SenatorBarb,http://www.opencongress.org/wiki/Barbara_Mikulski,http://youtube.com/senatormikulski,142890125771427,,III,1936-07-20,Sen.Mikulski@opencongress.org,0
507,Sen,Jerry,,Moran,,,R,KS,Junior Seat,1,M,202-224-6521,,http://www.moran.senate.gov,http://www.moran.senate.gov/public/index.cfm/e-mail-jerry,361a Russell Senate Office Building,M000934,542,H6KS01096,400284,N00005282,JerryMoran,http://www.opencongress.org/wiki/Jerry_Moran,http://youtube.com/senatorjerrymoran,171578807105,,III,1954-05-29,Sen.Moran@opencongress.org,0
508,Sen,Patty,,Murray,,,D,WA,Senior Seat,1,F,202-224-2621,202-224-0238,http://www.murray.senate.gov,http://www.murray.senate.gov/public/index.cfm/contactme,154 Russell Senate Office Building,M001111,53358,S2WA00189,300076,N00007876,PattyMurray,http://www.opencongress.org/wiki/Patty_Murray,http://youtube.com/SenatorPattyMurray,131182018871,,III,1950-10-11,Sen.Murray@opencongress.org,0
525,Sen,Lisa,A.,Murkowski,,,R,AK,Senior Seat,1,F,202-224-6665,202-224-5301,http://www.murkowski.senate.gov,http://www.murkowski.senate.gov/public/index.cfm?p=EMailLisa,709 Hart Senate Office Building,M001153,15841,S4AK00099,300075,N00026050,LisaMurkowski,http://www.opencongress.org/wiki/Lisa_Murkowski,http://youtube.com/senatormurkowski,25271170290,,III,1957-05-22,Sen.Murkowski@opencongress.org,0
541,Sen,Christopher,S.,Murphy,,,D,CT,Junior Seat,1,M,202-224-4041,202-225-5933,http://www.murphy.senate.gov,http://www.murphy.senate.gov/contact,303 Hart Senate Office Building,M001169,17189,H6CT05124,412194,N00027566,ChrisMurphyCT,http://www.opencongress.org/wiki/Christopher_Murphy,http://youtube.com/senchrismurphy,19437978960,,I,1973-08-03,Sen.Murphy@opencongress.org,0
